"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000153827",0.38290688394673,-0.737183554932591,0.034,0.038,1
"ENSG00000134444",0.383052268838332,-0.732344671554476,0.013,0.016,1
"ENSG00000196428",0.383081665385474,-0.346124756246001,0.167,0.154,1
"ENSG00000100815",0.384651220964917,-0.563914500861151,0.047,0.052,1
"ENSG00000214748",0.387153420519863,0.249643500138566,0.042,0.038,1
"ENSG00000136869",0.389357504223211,-0.479673935068592,0.016,0.019,1
"ENSG00000165457",0.390301788588057,0.339159032950342,0.043,0.039,1
"ENSG00000142166",0.39208191469941,-0.12131632821319,0.051,0.046,1
"ENSG00000082701",0.393008191832035,-0.463698742728044,0.014,0.017,1
"ENSG00000180172",0.393207894349667,-0.545895859575986,0.017,0.02,1
"ENSG00000113851",0.394106906172889,0.444266175388808,0.011,0.009,1
"ENSG00000103365",0.394431300225532,-0.576235927321309,0.047,0.052,1
"ENSG00000119638",0.394484051767477,0.560587287995843,0.011,0.009,1
"ENSG00000182944",0.395643672562238,-0.805695091502728,0.059,0.064,1
"ENSG00000213970",0.39582503530777,0.13895770207093,0.011,0.009,1
"ENSG00000120594",0.396046658147977,-0.448289874913811,0.303,0.282,1
"ENSG00000148908",0.3968146415096,-0.299939452420556,0.101,0.093,1
"ENSG00000119314",0.399036121445396,-0.590279903961951,0.022,0.025,1
"ENSG00000213614",0.400135886099534,-0.115833334958499,0.049,0.044,1
"ENSG00000241464",0.400855132129438,0.293661966574472,0.017,0.014,1
"ENSG00000119906",0.40088812816384,0.211550926744649,0.064,0.069,1
"ENSG00000138119",0.401576433170889,-0.844554175140501,0.023,0.026,1
"ENSG00000174839",0.402354462006823,-0.238530058891515,0.008,0.011,1
"ENSG00000138768",0.402607298919329,-0.219163248510338,0.024,0.02,1
"ENSG00000219274",0.40318336588434,-0.261982221844339,0.067,0.061,1
"ENSG00000152332",0.403774250356754,-0.419858078895535,0.013,0.015,1
"ENSG00000105568",0.40383699697161,-0.7949234074159,0.013,0.011,1
"ENSG00000177189",0.406853323082227,-0.651476098391009,0.031,0.035,1
"ENSG00000185404",0.407132477350735,0.339556732545122,0.011,0.008,1
"ENSG00000225338",0.409075733347801,-0.271273479466981,0.029,0.025,1
"ENSG00000159314",0.412212718765208,-0.775323173317662,0.025,0.029,1
"ENSG00000270228",0.413419488896768,-1.19991198968254,0.028,0.032,1
"ENSG00000142168",0.414196977119921,-0.794430695714665,0.025,0.028,1
"ENSG00000065243",0.417403451241704,-0.196079661383377,0.064,0.069,1
"ENSG00000237441",0.418080753583763,-0.450156441920694,0.015,0.018,1
"ENSG00000162946",0.418097696205074,-0.187342604032726,0.02,0.017,1
"ENSG00000197102",0.419508829549578,-0.927775295167535,0.034,0.038,1
"ENSG00000163444",0.420547050137546,-0.475320365474782,0.014,0.012,1
"ENSG00000234545",0.424337198749072,-0.13735215310362,0.127,0.119,1
"ENSG00000159346",0.42438285124769,-0.307049396984018,0.188,0.176,1
"ENSG00000168283",0.425481719878454,-0.62751657786007,0.01,0.008,1
"ENSG00000183666",0.428480426178488,-0.891936305874854,0.016,0.018,1
"ENSG00000134900",0.429275968389508,-0.403537044227261,0.146,0.134,1
"ENSG00000169413",0.430153086188007,-0.423236880639189,0.054,0.059,1
"ENSG00000275066",0.430282480534692,-0.693620606882132,0.025,0.028,1
"ENSG00000088888",0.430643556194137,-0.570917824176081,0.027,0.031,1
"ENSG00000166130",0.431057483998898,-0.789564940542849,0.014,0.011,1
"ENSG00000116497",0.433593187332857,-0.475123181706159,0.008,0.01,1
"ENSG00000267733",0.435010295213726,-0.337594186420618,0.016,0.013,1
"ENSG00000130338",0.43515938033558,-0.322686098825545,0.042,0.037,1
"ENSG00000186818",0.43544140543181,-0.527369333922735,0.07,0.075,1
"ENSG00000179820",0.436425560082773,-0.245785874894315,0.028,0.025,1
"ENSG00000224578",0.437316637538708,-0.348859012516432,0.029,0.025,1
"ENSG00000269888",0.437409051615042,-0.23969211698164,0.028,0.031,1
"ENSG00000163131",0.438158281175776,-0.425335846907869,0.145,0.149,1
"ENSG00000144401",0.441120365094734,-0.259591674419346,0.009,0.011,1
"ENSG00000213270",0.444142468983849,0.187867302551876,0.009,0.011,1
"ENSG00000213609",0.444259450297522,-0.455411000156885,0.069,0.073,1
"ENSG00000011405",0.44465202158162,-1.71507009972669,0.011,0.014,1
"ENSG00000047648",0.445807643917823,-0.498236636554659,0.031,0.035,1
"ENSG00000223877",0.446796147267698,0.200923455377323,0.037,0.033,1
"ENSG00000182487",0.448423778327098,0.466095851295549,0.015,0.012,1
"ENSG00000119844",0.453416685529882,-0.221740400927664,0.032,0.028,1
"ENSG00000139239",0.457042172833571,-0.328435098629328,0.199,0.186,1
"ENSG00000163510",0.461654750848259,-0.807767504886722,0.008,0.01,1
"ENSG00000224839",0.462866975218993,-0.248451116814145,0.088,0.092,1
"ENSG00000150995",0.462916675346295,0.180599302087837,0.01,0.008,1
